n,flops_per_sec
2,7.7135e+07
3,3.6e+08
4,8.66667e+08
5,1.373e+09
6,1.73604e+09
7,2.15744e+09
8,1.42476e+09
9,2.17172e+09
10,1.85185e+09
11,2.28429e+09
12,1.99252e+09
13,2.19101e+09
14,1.88912e+09
15,2.23574e+09
16,2.219e+09
17,2.94975e+09
18,2.16938e+09
19,3.82686e+09
20,2.2781e+09
21,2.60129e+09
22,2.30263e+09
23,2.9662e+09
24,2.97931e+09
25,3.02837e+09
26,2.52748e+09
27,2.94618e+09
28,3.09177e+09
29,2.84664e+09
30,3.08641e+09
31,3.5451e+09
32,2.79472e+09
33,2.89926e+09
34,2.87488e+09
35,3.0322e+09
36,2.63811e+09
37,2.89018e+09
38,2.7693e+09
39,2.73951e+09
40,2.81232e+09
41,5.03038e+09
42,3.31117e+09
43,3.48674e+09
44,4.52283e+09
45,4.24668e+09
46,3.12732e+09
47,3.73392e+09
48,4.92533e+09
49,3.05817e+09
50,4.98697e+09
51,3.99183e+09
52,4.26247e+09
53,3.65459e+09
54,3.71447e+09
55,4.39737e+09
56,4.45415e+09
57,3.96854e+09
58,4.10363e+09
59,5.25326e+09
60,3.22435e+09
61,3.39377e+09
62,4.278e+09
63,5.22201e+09
64,4.86913e+09
65,5.23911e+09
66,4.88092e+09
67,5.23226e+09
68,5.12688e+09
69,3.49444e+09
70,3.38412e+09
71,4.62295e+09
72,4.8182e+09
73,3.96835e+09
74,3.2705e+09
75,3.85987e+09
76,3.58573e+09
77,2.64575e+09
78,2.32678e+09
79,2.5475e+09
80,2.59221e+09
81,3.0037e+09
82,4.30621e+09
83,2.73094e+09
84,2.73861e+09
85,2.89653e+09
86,3.73635e+09
87,5.11636e+09
88,4.84219e+09
89,5.106e+09
90,4.69398e+09
91,2.99086e+09
92,4.58655e+09
93,5.07531e+09
94,5.1658e+09
95,5.13598e+09
96,3.44772e+09
97,2.26888e+09
98,3.42353e+09
99,4.4703e+09
100,4.80121e+09
101,4.24497e+09
102,3.00101e+09
103,3.71684e+09
104,4.29016e+09
105,4.18606e+09
106,4.59529e+09
107,3.06176e+09
108,4.17772e+09
109,4.51595e+09
110,5.16941e+09
111,4.79992e+09
112,4.54537e+09
113,5.07027e+09
114,4.25918e+09
115,2.87321e+09
116,3.26226e+09
117,3.54197e+09
118,4.30729e+09
119,4.64721e+09
120,4.57214e+09
121,3.68368e+09
122,4.91022e+09
123,4.1397e+09
124,4.03466e+09
125,4.87823e+09
126,4.84102e+09
127,3.6319e+09
128,5.08254e+09
129,3.88688e+09
130,2.96687e+09
131,4.22501e+09
132,4.30481e+09
133,5.12892e+09
134,4.90057e+09
135,5.05148e+09
136,4.84995e+09
137,3.47999e+09
138,3.68677e+09
139,3.79868e+09
140,4.03816e+09
141,4.5766e+09
142,3.21027e+09
143,2.95599e+09
144,3.03572e+09
145,3.55474e+09
146,4.61926e+09
147,4.15488e+09
148,3.68404e+09
149,2.98905e+09
150,4.83102e+09
151,3.8851e+09
152,5.38997e+09
153,5.21837e+09
154,5.35872e+09
155,5.14893e+09
156,5.38066e+09
157,5.24024e+09
158,5.40042e+09
159,5.24659e+09
160,4.48047e+09
161,5.17689e+09
162,4.23168e+09
163,2.83657e+09
164,3.10609e+09
165,4.14513e+09
166,4.79426e+09
167,4.46333e+09
168,3.72341e+09
169,3.99349e+09
170,5.01595e+09
171,3.10694e+09
172,5.01936e+09
173,4.1032e+09
174,5.38322e+09
175,5.05201e+09
176,5.08014e+09
177,4.85648e+09
178,5.27946e+09
179,5.1169e+09
180,5.3046e+09
181,5.04994e+09
182,4.73689e+09
183,4.53037e+09
184,4.65175e+09
185,4.46916e+09
186,4.55e+09
187,4.46218e+09
188,4.49723e+09
189,3.87674e+09
190,4.26166e+09
191,4.13706e+09
192,3.75368e+09
193,3.76412e+09
194,4.12795e+09
195,3.86561e+09
196,4.47725e+09
197,3.90782e+09
198,4.02936e+09
199,4.19704e+09
200,4.42658e+09
201,4.33359e+09
202,4.47294e+09
203,4.07549e+09
204,4.62898e+09
205,4.39735e+09
206,4.72422e+09
207,4.36245e+09
208,4.22164e+09
209,4.43805e+09
210,3.99574e+09
211,4.67494e+09
212,4.52573e+09
213,4.3834e+09
214,4.32854e+09
215,4.50272e+09
216,4.49197e+09
217,3.22051e+09
218,4.43433e+09
219,4.20155e+09
220,4.53902e+09
221,4.26557e+09
222,4.44512e+09
223,3.78473e+09
224,3.51193e+09
225,4.18379e+09
226,3.59587e+09
227,4.26663e+09
228,4.67637e+09
229,4.10315e+09
230,4.36618e+09
231,4.43676e+09
232,4.4786e+09
233,4.25933e+09
234,4.45782e+09
235,4.5369e+09
236,3.95516e+09
237,4.12842e+09
238,4.31321e+09
239,4.19489e+09
240,4.53635e+09
241,4.30054e+09
242,4.51746e+09
243,4.38235e+09
244,4.21454e+09
245,4.13718e+09
246,4.51813e+09
247,4.04545e+09
248,4.21742e+09
249,4.63865e+09
250,4.64135e+09
251,4.40661e+09
252,4.61806e+09
253,4.34818e+09
254,4.55632e+09
255,4.57689e+09
256,4.53222e+09
257,4.4519e+09
258,4.32167e+09
259,4.27344e+09
260,4.53071e+09
261,3.97524e+09
262,4.56893e+09
263,4.3135e+09
264,4.29016e+09
265,4.58533e+09
266,3.98262e+09
267,4.38812e+09
268,4.17872e+09
269,4.12588e+09
270,4.5791e+09
271,4.20562e+09
272,4.65187e+09
273,4.3078e+09
274,4.37856e+09
275,4.35336e+09
276,4.09812e+09
277,4.4195e+09
278,4.23743e+09
279,4.28697e+09
280,4.43639e+09
281,4.2058e+09
282,4.45695e+09
283,4.4629e+09
284,4.59364e+09
285,4.34983e+09
286,4.50036e+09
287,4.2783e+09
288,4.18644e+09
289,4.48926e+09
290,4.0778e+09
291,4.43356e+09
292,4.51521e+09
293,4.45074e+09
294,4.52323e+09
295,4.47258e+09
296,4.34128e+09
297,4.22964e+09
298,4.46294e+09
299,4.44146e+09
300,4.42613e+09
301,4.51254e+09
302,4.523e+09
303,4.39978e+09
304,4.78128e+09
305,4.17487e+09
306,4.70731e+09
307,4.6196e+09
308,4.51752e+09
309,3.90391e+09
310,4.61178e+09
311,2.92555e+09
312,2.98616e+09
313,3.49267e+09
314,4.40676e+09
315,4.80952e+09
316,4.68856e+09
317,4.45379e+09
318,4.75615e+09
319,4.59021e+09
320,4.56201e+09
321,4.61748e+09
322,4.73634e+09
323,4.47039e+09
324,4.68815e+09
325,4.35783e+09
326,4.4615e+09
327,3.91316e+09
328,4.72024e+09
329,4.04728e+09
330,4.8877e+09
331,4.81172e+09
332,4.68387e+09
333,4.6043e+09
334,4.74442e+09
335,4.61775e+09
336,5.04912e+09
337,3.75158e+09
338,3.78523e+09
339,4.47087e+09
340,4.73225e+09
341,4.68727e+09
342,4.80654e+09
343,4.66058e+09
344,4.32284e+09
345,4.24268e+09
346,4.66403e+09
347,4.72972e+09
348,4.90079e+09
349,4.52114e+09
350,4.06795e+09
351,3.77671e+09
352,5.07356e+09
353,4.99104e+09
354,4.93106e+09
355,4.61682e+09
356,4.63905e+09
357,4.68503e+09
358,4.92545e+09
359,4.75596e+09
360,4.67291e+09
361,4.61484e+09
362,4.59932e+09
363,4.60691e+09
364,4.77196e+09
365,4.93462e+09
366,4.57053e+09
367,4.10014e+09
368,5.0366e+09
369,4.81423e+09
370,5.01139e+09
371,4.64839e+09
372,4.65492e+09
373,4.61039e+09
374,4.23302e+09
375,4.80384e+09
376,4.96104e+09
377,4.77972e+09
378,4.7696e+09
379,4.5206e+09
380,4.97093e+09
381,4.91309e+09
382,4.87617e+09
383,4.6134e+09
384,4.68989e+09
385,4.58984e+09
386,4.71447e+09
387,4.59494e+09
388,4.64807e+09
389,4.57137e+09
390,4.76693e+09
391,4.69601e+09
392,4.90537e+09
393,4.95689e+09
394,4.75643e+09
395,4.49476e+09
396,4.88588e+09
397,4.66893e+09
398,4.64335e+09
399,4.63863e+09
400,4.57632e+09
401,4.74174e+09
402,4.76543e+09
403,4.68587e+09
404,4.76319e+09
405,4.59518e+09
406,4.4692e+09
407,4.61195e+09
408,4.76208e+09
409,4.90268e+09
410,4.74513e+09
411,4.6034e+09
412,4.73448e+09
413,4.50918e+09
414,4.47596e+09
415,4.52362e+09
416,4.66282e+09
417,4.62448e+09
418,4.87631e+09
419,4.53355e+09
420,4.81725e+09
421,4.37759e+09
422,4.62495e+09
424,4.88789e+09
425,4.5634e+09
426,4.66133e+09
427,4.68572e+09
428,4.89109e+09
429,4.78682e+09
430,4.4742e+09
431,4.63154e+09
432,5.07695e+09
433,4.65021e+09
434,4.90759e+09
435,4.64824e+09
436,4.74483e+09
437,4.31459e+09
438,3.21147e+09
439,4.93379e+09
440,4.83674e+09
441,4.65546e+09
442,4.96037e+09
443,4.86828e+09
444,4.35952e+09
445,4.71444e+09
446,4.61006e+09
447,4.70353e+09
448,4.70546e+09
449,4.83874e+09
450,4.86876e+09
451,4.75813e+09
452,4.71298e+09
453,5.02275e+09
454,5.20015e+09
455,4.66859e+09
456,4.81588e+09
457,4.36179e+09
458,5.01868e+09
459,4.82964e+09
460,4.84902e+09
461,4.73868e+09
462,4.73245e+09
463,4.71307e+09
464,4.49793e+09
465,4.52675e+09
466,4.94975e+09
467,4.91081e+09
468,4.97862e+09
469,4.82941e+09
470,4.85674e+09
471,4.76816e+09
472,4.8597e+09
473,4.77841e+09
474,4.8472e+09
475,4.71842e+09
476,4.81513e+09
477,4.69669e+09
478,4.86517e+09
479,4.77726e+09
480,4.81568e+09
481,4.82552e+09
482,4.93474e+09
483,4.82397e+09
484,5.02507e+09
485,4.79218e+09
486,4.94087e+09
487,4.73913e+09
488,4.8049e+09
489,4.8037e+09
490,4.8883e+09
491,4.86325e+09
492,4.82188e+09
493,4.97025e+09
494,4.85347e+09
495,4.79392e+09
496,4.92434e+09
497,4.68256e+09
498,4.93509e+09
499,4.75393e+09
500,5.08527e+09
501,4.85209e+09
502,5.03435e+09
503,4.86985e+09
504,4.95503e+09
505,4.60762e+09
506,4.87832e+09
507,4.82293e+09
508,4.90072e+09
509,4.83293e+09
510,4.93039e+09
511,4.73515e+09
512,4.64577e+09
