MessageSize(Bytes),Bandwidth(Bytes/sec)
8,27.10
16,3120733.37
32,6252035.17
64,11565568.34
128,23308042.49
256,24079009.25
512,72095752.17
1024,134459666.48
2048,144517100.25
4096,144823684.71
8192,108368866.88
16384,174291691.78
32768,174716075.71
65536,160598847.59
131072,232063879.89
262144,69792381.44
524288,236235252.98
1048576,233427565.79
2097152,272756843.78
4194304,280220667.47
8388608,329040105.27
16777216,351585539.14
33554432,365653654.56
67108864,371814740.75
134217728,376473209.88
268435456,379131152.72